country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","12-04-2026 20:00:00",25.265194,87.012947,SO2,53,74,61
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","12-04-2026 20:00:00",24.792403,84.992416,PM10,104,157,135
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","12-04-2026 20:00:00",24.792403,84.992416,SO2,35,46,42
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","12-04-2026 20:00:00",26.071318,91.87488,CO,21,103,62
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","12-04-2026 20:00:00",25.204762,85.514960,PM2.5,18,87,41
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","12-04-2026 20:00:00",26.187500,91.744194,PM2.5,45,137,86
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","12-04-2026 20:00:00",25.560083,87.553265,OZONE,5,20,12
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","12-04-2026 20:00:00",26.0881305,87.93840336,PM2.5,37,143,56
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","12-04-2026 20:00:00",26.0881305,87.93840336,NO2,8,9,8
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","12-04-2026 20:00:00",26.0881305,87.93840336,NH3,3,4,3
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","12-04-2026 20:00:00",27.308328,84.531742,SO2,16,17,16
India,Bihar,Munger,"Town Hall, Munger - BSPCB","12-04-2026 20:00:00",25.376776,86.471523,PM2.5,33,85,60
India,Bihar,Munger,"Town Hall, Munger - BSPCB","12-04-2026 20:00:00",25.376776,86.471523,NH3,2,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB","12-04-2026 20:00:00",25.376776,86.471523,SO2,1,116,82
India,Bihar,Munger,"Town Hall, Munger - BSPCB","12-04-2026 20:00:00",25.376776,86.471523,CO,25,31,28
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","12-04-2026 20:00:00",26.11442,85.39813,PM2.5,143,313,257
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","12-04-2026 20:00:00",26.11442,85.39813,SO2,6,12,9
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","12-04-2026 20:00:00",26.1403345,85.3650192,OZONE,11,67,42
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","12-04-2026 20:00:00",26.1209,85.3647,OZONE,7,19,15
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","12-04-2026 20:00:00",25.697189,85.245900,SO2,4,14,8
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","12-04-2026 20:00:00",25.560083,87.553265,SO2,17,27,23
